keyword,1997-2008,2009-2013,2014-2018,2019-2021
love,0.1493246291592876,0.24501307409129705,0.21700980399005612,0.1827815892563723
magic,0.16956067108641257,0.10132405148331035,0.18779325563896535,0.23915470215076043
school,0.15079085241941745,0.1374109325094261,0.12603475475138445,0.06634974518716326
kingdom,0.05829410308340084,0.03781939260746531,0.09141211311878988,0.1306764757329162
vampire,0.09335793727144012,0.10510857605053234,0.021057894740117215,0.013551096366538052
dragon,0.07916846891894105,0.03183200257779433,0.038120657702128934,0.0342227576533799
curse,0.028282172665173327,0.031003526544315388,0.02822030739389207,0.048097544292316316
angel,0.025047439447571335,0.04470445766382311,0.021616413874304838,0.004583416414260031
ghost,0.030996097399161014,0.030845795429494612,0.020653370848261302,0.040153072160088364
academy,0.025607534018680468,0.035230092741239616,0.03701787078943407,0.03963742018670746
space,0.017367189843193107,0.015465908297726483,0.024636371873319563,0.033453178178243365
court,0.01899079923125145,0.011852254716405929,0.03040680121693979,0.03273968274136349
realm,0.03224252360868029,0.025445252064215076,0.02941356326382084,0.017301144523102153
demon,0.02176000776129732,0.030830599224096943,0.01965886419052479,0.02315188568689443
wizard,0.024399961813700376,0.01415846241346778,0.011712862579928443,0.0
rebellion,0.009935621203699676,0.0111959907296876,0.023203718391992846,0.012729575027867989
