data_driven_era,first_publish_year,title_clean,primary_author,popularity_score,theme_tags
1997-2008,2008,The Hunger Games,Suzanne Collins,3.919592192532997,"[""dystopian_post_apocalyptic"", ""science_fiction""]"
1997-2008,2003,Harry Potter and the Order of the Phoenix,J.K. Rowling,3.8287525503885744,"[""middle_grade_fantasy""]"
1997-2008,1997,Harry Potter and the Sorcerer's Stone,J.K. Rowling,3.82703898074793,"[""middle_grade_fantasy""]"
1997-2008,2007,Harry Potter and the Deathly Hallows,J.K. Rowling,3.621899567223673,"[""middle_grade_fantasy""]"
1997-2008,1999,Harry Potter and the Prisoner of Azkaban,J.K. Rowling,3.50928313538434,"[""middle_grade_fantasy""]"
1997-2008,2000,Harry Potter and the Goblet of Fire,J.K. Rowling,3.422538151647882,"[""middle_grade_fantasy""]"
1997-2008,2005,Harry Potter and the Half-Blood Prince,J.K. Rowling,3.4015367864983563,"[""middle_grade_fantasy""]"
1997-2008,2005,The Lightning Thief,Rick Riordan,3.2525886386349026,"[""middle_grade_fantasy"", ""mythology_adventure""]"
2009-2013,2011,Divergent,Veronica Roth,3.3285920696400377,"[""dystopian_post_apocalyptic"", ""science_fiction""]"
2009-2013,2009,Catching Fire,Suzanne Collins,2.950612437297817,"[""dystopian_post_apocalyptic"", ""science_fiction""]"
2009-2013,2009,The Last Olympian,Rick Riordan,2.9374268476754044,"[""middle_grade_fantasy"", ""mythology_adventure""]"
2009-2013,2010,Clockwork Angel,Cassandra Clare,2.806452688504668,"[""epic_high_fantasy""]"
2009-2013,2013,Clockwork Princess,Cassandra Clare,2.7618637998565654,"[""paranormal_supernatural"", ""paranormal_romance""]"
2009-2013,2011,Clockwork Prince,Cassandra Clare,2.6411758342338816,"[""paranormal_supernatural"", ""paranormal_romance""]"
2009-2013,2010,The Lost Hero,Rick Riordan,2.62452700407798,"[""middle_grade_fantasy"", ""mythology_adventure""]"
2009-2013,2010,Mockingjay,Suzanne Collins,2.581428371257538,"[""dystopian_post_apocalyptic"", ""science_fiction""]"
2014-2018,2016,A Court of Mist and Fury,Sarah J. Maas,2.642230669131224,"[""epic_high_fantasy"", ""romantasy""]"
2014-2018,2014,City of Heavenly Fire,Cassandra Clare,2.383480774328936,"[""paranormal_supernatural"", ""paranormal_romance""]"
2014-2018,2015,Six of Crows,Leigh Bardugo,2.3797737809008472,"[""epic_high_fantasy"", ""romantasy""]"
2014-2018,2014,Heir of Fire,Sarah J. Maas,2.352768773858668,"[""epic_high_fantasy"", ""romantasy""]"
2014-2018,2015,Queen of Shadows,Sarah J. Maas,2.334823257828844,"[""epic_high_fantasy""]"
2014-2018,2016,Crooked Kingdom,Leigh Bardugo,2.241047724400559,"[""epic_high_fantasy"", ""romantasy""]"
2014-2018,2015,A Court of Thorns and Roses,Sarah J. Maas,2.233152349815158,"[""epic_high_fantasy"", ""romantasy""]"
2014-2018,2014,Cress,Marissa Meyer,2.211128568800724,"[""dystopian_post_apocalyptic"", ""science_fiction""]"
2019-2021,2019,The Wicked King,Holly Black,1.6775609935454845,"[""epic_high_fantasy""]"
2019-2021,2019,The Queen of Nothing,Holly Black,1.4833726223820514,"[""epic_high_fantasy""]"
2019-2021,2019,The Winter of the Witch,Katherine Arden,1.160871550716842,"[""paranormal_supernatural"", ""paranormal_romance""]"
2019-2021,2020,Chain of Gold,Cassandra Clare,1.1450899205734435,"[""paranormal_supernatural"", ""paranormal_romance"", ""epic_high_fantasy""]"
2019-2021,2019,Supernova,Marissa Meyer,1.0791523638143454,"[""dystopian_post_apocalyptic"", ""science_fiction""]"
2019-2021,2019,Ninth House,Leigh Bardugo,0.9994116645070203,"[""paranormal_supernatural""]"
2019-2021,2019,The Octunnumi Fosbit Files Prologue,Trevor Alan Foris,0.9440893963624066,"[""middle_grade_fantasy""]"
2019-2021,2019,The Toll,Neal Shusterman,0.923149583303182,"[""dystopian_post_apocalyptic"", ""science_fiction""]"
